"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2018-12-22,1,2018-12-29,1.84090574151742,0.01,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,1.86148160300142,0.025,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,1.89549870741678,0.05,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.00532345787399,0.1,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.17137731904467,0.15,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.26774566038584,0.2,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.32397958622799,0.25,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.35963461073512,0.3,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.4077952236683,0.35,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.43089239589736,0.4,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.47849633971017,0.45,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.51366274927708,0.5,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.53089280898175,0.55,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.57112844998987,0.6,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.61204337208178,0.65,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.62732264522119,0.7,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.66136725330276,0.75,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.69420339403217,0.8,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.77193924456384,0.85,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,2.85827305572209,0.9,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,3.11981217044818,0.95,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,3.43932666342985,0.975,"ili perc","quantile"
"HHS Region 1",2018-12-22,1,2018-12-29,3.71557768485935,0.99,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,1.63820350536944,0.01,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,1.72742041178881,0.025,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,1.82341741282995,0.05,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.00437399914257,0.1,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.13230379679519,0.15,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.17767518318217,0.2,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.24476237481604,0.25,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.27076551480031,0.3,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.33882118929447,0.35,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.38385448301354,0.4,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.47256141996811,0.45,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.54229864967428,0.5,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.56292114107236,0.55,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.59349516139558,0.6,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.66832574287013,0.65,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.70383064059732,0.7,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.73969110190096,0.75,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.86765869577427,0.8,"ili perc","quantile"
"HHS Region 1",2018-12-22,2,2019-01-05,2.9034524355816,0.85,"ili perc","quantile"
