"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2020-02-01,1,2020-02-08,5.14731454220461,0.01,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,5.53006145783254,0.025,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,5.55626450406041,0.05,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,5.74577382872487,0.1,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,5.8231018220231,0.15,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,5.89471798473335,0.2,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.01291291336692,0.25,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.11151328079584,0.3,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.14516526630793,0.35,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.21898003079561,0.4,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.32409948789237,0.45,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.37510143086538,0.5,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.41199118923364,0.55,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.47471099726264,0.6,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.55724536047965,0.65,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.57355978501358,0.7,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.60373416394386,0.75,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.64081373998537,0.8,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.6990111105011,0.85,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,6.87421972221031,0.9,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,7.01178425564742,0.95,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,7.17606155340239,0.975,"ili perc","quantile"
"HHS Region 1",2020-02-01,1,2020-02-08,7.19434159081576,0.99,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,4.52524578671784,0.01,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,4.73162390121533,0.025,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.03176681045019,0.05,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.1456963261607,0.1,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.28598324926906,0.15,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.41878198755701,0.2,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.60787440403029,0.25,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.66887433209793,0.3,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.76863146607468,0.35,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.83228312472739,0.4,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.89208238105405,0.45,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,5.97689302799425,0.5,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,6.0287974128021,0.55,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,6.13456937747612,0.6,"ili perc","quantile"
"HHS Region 1",2020-02-01,2,2020-02-15,6.23499802007004,0.65,"ili perc","quantile"
