"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2016-04-02,1,2016-04-09,1.69108210551443,0.01,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.75125093173678,0.025,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.82392551201415,0.05,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.87793627099682,0.1,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.90219791137361,0.15,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.91374453646106,0.2,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.92855709378991,0.25,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.93621020749965,0.3,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.965130532478,0.35,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.97118588919345,0.4,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,1.98653732371804,0.45,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.00104207512749,0.5,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.01473607830259,0.55,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.02511097068217,0.6,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.03642869929955,0.65,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.04396952947315,0.7,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.05923254886049,0.75,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.08236728255901,0.8,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.10383614938633,0.85,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.11814595295272,0.9,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.17772805822246,0.95,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.21634044630904,0.975,"ili perc","quantile"
"US National",2016-04-02,1,2016-04-09,2.33010342157747,0.99,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.35592462317618,0.01,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.36156263642265,0.025,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.41478147755143,0.05,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.47513642488234,0.1,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.52351421676334,0.15,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.55594226132943,0.2,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.59092196972943,0.25,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.60001455486797,0.3,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.61290700447022,0.35,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.63554180952867,0.4,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.66411943001554,0.45,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.68026338726499,0.5,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.69401325530009,0.55,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.7074537532772,0.6,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.71855482471618,0.65,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.74615742915805,0.7,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.7593380526385,0.75,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.79446914120843,0.8,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.82273236263409,0.85,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.85144214434395,0.9,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.89741530872768,0.95,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,1.9238185759305,0.975,"ili perc","quantile"
"US National",2016-04-02,2,2016-04-16,2.01963117000894,0.99,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.0445037849756,0.01,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.10331669609879,0.025,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.17318093465409,0.05,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.24068398071451,0.1,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.26383428512749,0.15,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.27859534203444,0.2,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.3121050221458,0.25,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.32969508711938,0.3,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.34916443581332,0.35,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.36126701676506,0.4,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.37551531725976,0.45,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.39134569477821,0.5,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.4045206641212,0.55,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.41508136692984,0.6,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.4318879184871,0.65,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.44893695553698,0.7,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.45988548504893,0.75,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.47101162559464,0.8,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.48931034228685,0.85,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.555759037539,0.9,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.58800869760325,0.95,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.64231453405627,0.975,"ili perc","quantile"
"US National",2016-04-02,3,2016-04-23,1.78787878953163,0.99,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.01187429811957,0.01,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.03763151975032,0.025,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.10075951305435,0.05,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.14589886019683,0.1,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.16641830942726,0.15,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.2115708789789,0.2,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.22799452581994,0.25,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.24545763919916,0.3,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.26324352484144,0.35,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.27463588305875,0.4,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.2859481043947,0.45,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.30245965998811,0.5,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.31706172505454,0.55,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.33181482665416,0.6,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.35289586720657,0.65,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.39021623512133,0.7,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.41603240477773,0.75,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.448805913013,0.8,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.48497947187515,0.85,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.52214116232837,0.9,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.62322525773341,0.95,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.72265525277484,0.975,"ili perc","quantile"
"US National",2016-04-02,4,2016-04-30,1.81426142687884,0.99,"ili perc","quantile"
