"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type","region"
"US National",2017-03-18,4,2017-04-15,1.28161405580144,0.01,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,1.48889343535863,0.025,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,1.63959827278874,0.05,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,1.74959384295984,0.1,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,1.84689851824715,0.15,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,1.91696269422157,0.2,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.0069091490053,0.25,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.08250137894846,0.3,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.18348685111574,0.35,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.29767688361145,0.4,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.35897566568756,0.45,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.43588052566863,0.5,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.50322556781347,0.55,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.61694856331752,0.6,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.74888818738769,0.65,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.80658150262664,0.7,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,2.89931519649346,0.75,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,3.01974374766434,0.8,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,3.16113471563878,0.85,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,3.46579377768268,0.9,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,3.85693070104214,0.95,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,4.35172495056454,0.975,"ili perc","quantile","nat"
"US National",2017-03-18,4,2017-04-15,4.47681078749887,0.99,"ili perc","quantile","nat"
