"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type","region"
"US National",2016-11-26,4,2016-12-24,1.0370583674262,0.01,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.14902549559625,0.025,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.22568482117509,0.05,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.54251403140111,0.1,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.62248687508715,0.15,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.69775561613629,0.2,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.73152305845012,0.25,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.76480742362087,0.3,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.84615128747696,0.35,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,1.92809738228792,0.4,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.02421394837811,0.45,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.11432603449507,0.5,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.18037752260172,0.55,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.27058838248247,0.6,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.31292328021398,0.65,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.35946428516838,0.7,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.42217163902306,0.75,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.50073173287417,0.8,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.58134712717777,0.85,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.72764114242462,0.9,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,2.9733895734031,0.95,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,3.28862508255251,0.975,"ili perc","quantile","nat"
"US National",2016-11-26,4,2016-12-24,3.61771736791476,0.99,"ili perc","quantile","nat"
