"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type","region"
"US National",2016-10-29,4,2016-11-26,0.481448772989338,0.01,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,0.658744782495843,0.025,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,0.787363658223149,0.05,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,0.883474608068744,0.1,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,0.971354191302913,0.15,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.08739405881425,0.2,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.10797311984323,0.25,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.20250125761023,0.3,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.23908019602309,0.35,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.30866115937244,0.4,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.35825762858721,0.45,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.39114555058753,0.5,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.44613662591558,0.55,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.4868829885795,0.6,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.52993782974795,0.65,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.60895275970947,0.7,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.67229446345784,0.75,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.84798158948477,0.8,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.90748555099499,0.85,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,1.95697340851601,0.9,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,2.44518115462435,0.95,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,2.72442075012139,0.975,"ili perc","quantile","nat"
"US National",2016-10-29,4,2016-11-26,3.00336489916119,0.99,"ili perc","quantile","nat"
