"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type","region"
"US National",2016-01-30,4,2016-02-27,1.25620703085492,0.01,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,1.3665879559296,0.025,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,1.56002330060737,0.05,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,1.70547897616269,0.1,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,1.88805535658603,0.15,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,1.96766614330041,0.2,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.0560991629624,0.25,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.19728335997212,0.3,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.34478093815913,0.35,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.54520505084615,0.4,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.5928961208314,0.45,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.68072515337951,0.5,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.74330370967348,0.55,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.84911859648327,0.6,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.89381479905897,0.65,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,2.97697147676676,0.7,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,3.03539467812274,0.75,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,3.12105631561584,0.8,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,3.28152057759709,0.85,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,3.53797278497996,0.9,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,3.93770425334358,0.95,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,4.10082150599165,0.975,"ili perc","quantile","nat"
"US National",2016-01-30,4,2016-02-27,4.29040956312304,0.99,"ili perc","quantile","nat"
