"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type","region"
"US National",2017-04-22,4,2017-05-20,0.440734128313004,0.01,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,0.512192831062243,0.025,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,0.57963911321348,0.05,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,0.771199328485034,0.1,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,0.907397900950953,0.15,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,0.999900321886121,0.2,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.07976086716279,0.25,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.15387431332816,0.3,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.19658172504627,0.35,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.25243892943216,0.4,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.32474458861621,0.45,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.38940399759743,0.5,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.46618325561733,0.55,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.53163330149249,0.6,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.56014225897478,0.65,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.64229945083455,0.7,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.75647721301803,0.75,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.88177773630565,0.8,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,1.93948164508645,0.85,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,2.20658913378456,0.9,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,2.38691561649376,0.95,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,2.62821489669627,0.975,"ili perc","quantile","nat"
"US National",2017-04-22,4,2017-05-20,2.87612894499043,0.99,"ili perc","quantile","nat"
