"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type","region"
"US National",2016-01-09,4,2016-02-06,0.903575618099208,0.01,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,0.923561820717031,0.025,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.04353248956489,0.05,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.16711686104745,0.1,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.25743139234321,0.15,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.40727420201148,0.2,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.44559896745999,0.25,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.5267222154273,0.3,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.6163294961966,0.35,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.68214619745903,0.4,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.74277127688978,0.45,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.80892973812429,0.5,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.86246400040551,0.55,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.89346076004728,0.6,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.9461407245716,0.65,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,1.9691401779999,0.7,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,2.14380503525569,0.75,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,2.32229990305599,0.8,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,2.41943152149412,0.85,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,2.60934404328072,0.9,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,3.01413638892789,0.95,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,3.21041411587905,0.975,"ili perc","quantile","nat"
"US National",2016-01-09,4,2016-02-06,3.84738188830593,0.99,"ili perc","quantile","nat"
