"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type","region"
"US National",2015-12-05,4,2016-01-02,0.942075888653483,0.01,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.01907542757094,0.025,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.05326952467137,0.05,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.16767084129674,0.1,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.29172215386103,0.15,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.3348344386812,0.2,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.43796269479291,0.25,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.56185455145507,0.3,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.62287454919451,0.35,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.66740366467943,0.4,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.7188011888465,0.45,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.7766122518569,0.5,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.84072156142502,0.55,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.90308779249135,0.6,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,1.99618478658758,0.65,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,2.11160852703745,0.7,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,2.2460505261556,0.75,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,2.34758905895673,0.8,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,2.50408450962863,0.85,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,2.68732481651646,0.9,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,3.25372343365497,0.95,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,3.48804639010391,0.975,"ili perc","quantile","nat"
"US National",2015-12-05,4,2016-01-02,4.84481975358773,0.99,"ili perc","quantile","nat"
