"location","target","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.01,2.07155337344723
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.025,2.19103088322789
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.05,2.31373952466156
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.1,2.42166617315238
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.15,2.50859890753537
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.2,2.56304844427872
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.25,2.60385177926431
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.3,2.60689271732149
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.35,2.6359032370973
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.4,2.66539251731657
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.45,2.7101467657623
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.5,2.74004945545041
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.55,2.77098720999262
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.6,2.81826189903399
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.65,2.84257298426121
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.7,2.87907219633899
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.75,2.92035377629749
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.8,2.96070370675101
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.85,3.03134055066735
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.9,3.10067259357212
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.95,3.2613318179484
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.975,3.55752328100191
"HHS Region 1","ili perc",1,2019-03-23,"quantile",0.99,4.46480369380371
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.01,1.84685370700599
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.025,1.89790615656656
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.05,2.30977385410987
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.1,2.41697106243474
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.15,2.48434260901977
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.2,2.54893547888336
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.25,2.61800808978575
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.3,2.64844066845161
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.35,2.68392691793441
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.4,2.7021689116189
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.45,2.73456006418884
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.5,2.78184078681445
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.55,2.8388819118869
"HHS Region 1","ili perc",2,2019-03-30,"quantile",0.6,2.95454816085576
