"location","target","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.01,0.608871403869517
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.025,0.619388861071581
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.05,0.676056461274503
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.1,0.820014514722666
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.15,0.852071220098898
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.2,0.870522533570827
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.25,0.901398876590482
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.3,0.929341997884997
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.35,0.954323986470551
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.4,0.960504805980362
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.45,0.987467368970283
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.5,1.02053965624772
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.55,1.03140225754314
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.6,1.04063132282156
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.65,1.0536869025124
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.7,1.0674266592782
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.75,1.08231967150489
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.8,1.09967586511112
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.85,1.12586802664982
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.9,1.14415287789793
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.95,1.2574545937806
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.975,1.34006578637813
"HHS Region 1","ili perc",1,2017-11-04,"quantile",0.99,1.64423061664007
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.01,0.500314409261702
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.025,0.54961434560263
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.05,0.565910140503124
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.1,0.659882940842875
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.15,0.678835958479702
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.2,0.708929556601066
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.25,0.733550193224507
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.3,0.781275655007476
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.35,0.830841501112685
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.4,0.845301015731888
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.45,0.86175584287664
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.5,0.889718447155784
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.55,0.90687517636884
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.6,0.925309678811145
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.65,0.949652926705341
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.7,0.957023961606553
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.75,0.995279712081955
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.8,1.02972019656051
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.85,1.06338683748145
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.9,1.0998176167182
"HHS Region 1","ili perc",2,2017-11-11,"quantile",0.95,1.21058431780594
