"location","target","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.01,1.26693395652788
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.025,1.3304782312015
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.05,1.4181669491388
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.1,1.55936186727534
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.15,1.6145570023028
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.2,1.65289133202029
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.25,1.70725618737624
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.3,1.72047330182396
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.35,1.75010513509616
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.4,1.77433984278457
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.45,1.80631637301819
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.5,1.82110185315704
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.55,1.8562555595941
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.6,1.88131098975646
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.65,1.91211659619054
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.7,1.9238144033411
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.75,1.95618291994786
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.8,2.02369420376596
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.85,2.08117333717159
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.9,2.18548196022994
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.95,2.25515469191859
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.975,2.41596499912244
"HHS Region 1","ili perc",1,2019-04-27,"quantile",0.99,2.49899001788366
"HHS Region 1","ili perc",2,2019-05-04,"quantile",0.01,1.00645158833466
"HHS Region 1","ili perc",2,2019-05-04,"quantile",0.025,1.0245768243825
