"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2017-10-28,1,2017-11-04,0.608107845036901,0.01,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.619591354947219,0.025,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.665297502015522,0.05,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.746001217008259,0.1,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.789970558619775,0.15,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.828013007579904,0.2,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.878477963883172,0.25,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.895819444046503,0.3,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.905687321678447,0.35,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.926438773377479,0.4,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.958381729916869,0.45,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.972540879270457,0.5,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,0.992611719968078,0.55,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,1.00606897538649,0.6,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,1.02355160211169,0.65,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,1.04907768054889,0.7,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,1.09525603728686,0.75,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,1.13451134552086,0.8,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,1.15468612619451,0.85,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,1.2108001384509,0.9,"ili perc","quantile"
"HHS Region 1",2017-10-28,1,2017-11-04,1.36124335584503,0.95,"ili perc","quantile"
