"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2019-03-09,1,2019-03-16,2.33496547738249,0.01,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,2.45556402241926,0.025,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,2.66470367083908,0.05,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,2.78674906700059,0.1,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,2.90909360005808,0.15,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,2.95616079474977,0.2,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.00702519548489,0.25,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.02649989908682,0.3,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.07002645995434,0.35,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.09847067909141,0.4,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.1790643242582,0.45,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.20625278469498,0.5,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.25973426548546,0.55,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.27826504371265,0.6,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.29728082918092,0.65,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.32780566353607,0.7,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.38490559695448,0.75,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.44978099485383,0.8,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.54200988148119,0.85,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.58432984485155,0.9,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.72043042046091,0.95,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.82472700166653,0.975,"ili perc","quantile"
"HHS Region 1",2019-03-09,1,2019-03-16,3.87317758219048,0.99,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,2.09674372801526,0.01,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,2.1507422387407,0.025,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,2.61207135234361,0.05,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,2.74916844027162,0.1,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,2.81646583631841,0.15,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,2.87435437632285,0.2,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,2.91121962832385,0.25,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,3.01594200388178,0.3,"ili perc","quantile"
"HHS Region 1",2019-03-09,2,2019-03-23,3.18029101125261,0.35,"ili perc","quantile"
