"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2018-10-20,1,2018-10-27,0.55082484205058,0.01,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,0.630251895877566,0.025,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,0.802377588583211,0.05,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,0.884442297346209,0.1,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,0.943280881279371,0.15,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,0.965480375388271,0.2,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.00428518721446,0.25,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.02425879455807,0.3,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.04679388553842,0.35,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.06448384426984,0.4,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.08282446087084,0.45,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.09383556919956,0.5,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.11215863503453,0.55,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.13434043969186,0.6,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.1530902441081,0.65,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.16917384321307,0.7,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.18530320424677,0.75,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.22169730479947,0.8,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.28156646087996,0.85,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.34143087785441,0.9,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.38405823095087,0.95,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,1.58146596737541,0.975,"ili perc","quantile"
"HHS Region 1",2018-10-20,1,2018-10-27,2.18240908007486,0.99,"ili perc","quantile"
"HHS Region 1",2018-10-20,2,2018-11-03,0.549111921841129,0.01,"ili perc","quantile"
"HHS Region 1",2018-10-20,2,2018-11-03,0.572818603517188,0.025,"ili perc","quantile"
"HHS Region 1",2018-10-20,2,2018-11-03,0.606376683076801,0.05,"ili perc","quantile"
