"location","target","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.01,1.55054606146651
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.025,1.7429392441109
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.05,1.84970196799525
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.1,1.91075965797678
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.15,1.98917067226659
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.2,2.04446664200434
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.25,2.08165140786136
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.3,2.1187848199809
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.35,2.15274055285119
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.4,2.17545966494682
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.45,2.20726482189352
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.5,2.25216530687579
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.55,2.28823299672475
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.6,2.33678619857312
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.65,2.34519816592175
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.7,2.36637724617674
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.75,2.40761212904725
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.8,2.45387359108358
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.85,2.48200781016664
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.9,2.62228508246218
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.95,2.83248727859228
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.975,3.26522242117729
"HHS Region 1","ili perc",1,2019-04-13,"quantile",0.99,3.81420590072754
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.01,1.18391720409393
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.025,1.27063513896968
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.05,1.34287198142416
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.1,1.50964343754937
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.15,1.60361799754618
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.2,1.64009052439823
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.25,1.74359288791873
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.3,1.80239106177963
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.35,1.8437707373509
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.4,1.88317018601837
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.45,1.9139617907512
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.5,1.97317562513481
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.55,1.99555196642244
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.6,2.02312161454897
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.65,2.05126395002519
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.7,2.12733821411087
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.75,2.20256520697858
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.8,2.25890247339222
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.85,2.34315869135444
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.9,2.5468204541252
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.95,2.82177355584188
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.975,3.36579791857281
"HHS Region 1","ili perc",2,2019-04-20,"quantile",0.99,3.49424637093282
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.01,0.995089868108874
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.025,1.04860793664222
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.05,1.14818840891241
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.1,1.34780373518488
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.15,1.50118824128089
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.2,1.56177671784968
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.25,1.60599445661886
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.3,1.61957862660377
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.35,1.66743281249296
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.4,1.696265686874
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.45,1.73487336570454
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.5,1.80097613738664
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.55,1.85004957172002
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.6,1.94691097836209
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.65,2.00661700344008
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.7,2.05806605088652
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.75,2.20495867408357
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.8,2.27991865885756
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.85,2.3477649989988
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.9,2.47025065166001
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.95,2.66067116861256
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.975,3.10215017369895
"HHS Region 1","ili perc",3,2019-04-27,"quantile",0.99,3.37169209731964
"HHS Region 1","ili perc",4,2019-05-04,"quantile",0.01,0.743462589959366
