"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.01,0.523443828998673
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.025,0.607006026635658
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.05,0.672798417137029
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.1,0.753299622676031
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.15,0.812934779228913
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.2,0.855351990056936
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.25,0.89776920088496
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.3,0.932096978489922
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.35,0.965975701309799
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.4,0.999854424129675
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.45,1.03319481627154
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.5,1.06653288523979
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.55,1.09987095420804
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.6,1.14053732144013
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.65,1.1812321654524
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.7,1.23335618397782
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.75,1.29526269731284
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.8,1.41764894244128
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.85,1.71398457565478
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.9,1.88211828969688
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.95,5.26686239770743
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.975,5.45353063660272
2016-12-10,"HHS Region 1","ili perc",1,2016-12-17,"quantile",0.99,9.89532177687244
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.01,0.610043949438022
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.025,0.690901262747802
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.05,0.787144682232009
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.1,0.915088101642567
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.15,0.995429627975601
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.2,1.05799953648679
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.25,1.12141456749413
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.3,1.18895925429635
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.35,1.28133302831219
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.4,1.40320673997689
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.45,1.47165458615747
2016-12-10,"HHS Region 10","ili perc",1,2016-12-17,"quantile",0.5,1.52305001559986
